title,cost,properties,load,type
12 gauge,5,,.1,12 gauge
.308,10,,.1,.308
.5,20,,.1,.5
.357 Magnum,5,,.1,.357
.44 Magnum,8,,.1,.44
.45,2,,.1,.45
.45-70 Gov't.,12,,.1,.45-70
10mm,4,,.1,10mm
12.7mm,12,,.1,12.7mm
20 gauge,2,,.1,20 gauge
5.56mm,2,,.1,5.56mm
5mm,5,,.1,5mm
9mm,2,,.1,9mm
Flares,5,,.1,Flares
Nails (x5),2,,.1,Nails (x5)
Cryo Cell,50,,.1,Cryo Cell
Energy Cell,30,,.1,Energy Cell
Microfusion Cell,35,,.1,Microfusion Cell
Fusion Core,200,,.1,Fusion Core
2mm EC,40,,.1,2mm EC
Gamma cell,60,,.1,Gamma cell
Fuel,50,,20,Fuel
Mini Nuke,250,,12,Mini Nuke
Missile,50,,10,Missile
