title,cost,properties,load,qty
Buffout,20,"<span class=""condition"" data-condition='<span class=""condition"" data-condition='anabolic'>Anabolic</span>'><span class=""condition"" data-condition='anabolic'>Anabolic</span></span>",0.1,1
Buffjet,50,"<span class=""condition"" data-condition='anabolic'>Anabolic</span> <span class=""condition"" data-condition='stimulant'>Stimulant</span>",0.1,1
Bufftats,50,"<span class=""condition"" data-condition='anabolic'>Anabolic</span> <span class=""condition"" data-condition='stimulant'>Stimulant</span>",0.1,1
Calmex,100,"<span class=""condition"" data-condition='sedative'>Sedative</span>",1,1
Cigarette,5,"<span class=""condition"" data-condition='anxiolytic'>Anxiolytic</span>",0.1,1
Coyote tobacco chew,15,"<span class=""condition"" data-condition='anxiolytic'>Anxiolytic</span> <span class=""condition"" data-condition='superstimulant'>Super Stimulant</span>",0.1,1
Daddy-O,50,"<span class=""condition"" data-condition='extrapolating'>Extrapolating</span>",0.1,1
Day Tripper,40,"<span class=""condition"" data-condition='hallucinogenic'>Hallucinogenic</span>",0.1,1
Fury,60,"<span class=""condition"" data-condition='painkilling'>Painkilling</span> <span class=""condition"" data-condition='psychosis'>Psychosis</span> <span class=""condition"" data-condition='superstimulant'>Super Stimulant</span>",1,1
Hydra,55,"<span class=""condition"" data-condition='painkilling'>Painkilling</span>",1,1
Jet,20,"<span class=""condition"" data-condition='superstimulant'>Super Stimulant</span>",1,1
Jet fuel,30,"<span class=""condition"" data-condition='superstimulant'>Super Stimulant</span> <span class=""condition"" data-condition='invigorating'>Invigorating</span>",0,1
Rocket,50,"<span class=""condition"" data-condition='hyper'>Hyper</span><span class=""condition"" data-condition='stimulant'>Stimulant</span>",1,1
Ultrajet,80,"<span class=""condition"" data-condition='hyper'>Hyper</span><span class=""condition"" data-condition='stimulant'>Stimulant</span> <span class=""condition"" data-condition='invigorating'>Invigorating</span>",1,1
Med-X,50,"<span class=""condition"" data-condition='anesthetic'>Anesthetic</span>",1,1
Mentats,40,"<span class=""condition"" data-condition='stimulant'>Stimulant</span>",0.1,1
Berry Mentats,60,"<span class=""condition"" data-condition='extrapolating'>Extrapolating</span> <span class=""condition"" data-condition='stimulant'>Stimulant</span> ",0.1,1
Grape Mentats,60,"<span class=""condition"" data-condition='anxiolytic'>Anxiolytic</span> <span class=""condition"" data-condition='stimulant'>Stimulant</span>",0.1,1
Orange Mentats,60,"<span class=""condition"" data-condition='sedative'>Sedative</span> <span class=""condition"" data-condition='stimulant'>Stimulant</span> ",0.1,1
Overdrive,55,"<span class=""condition"" data-condition='invigorating'>Invigorating</span> <span class=""condition"" data-condition='psychosis'>Psychosis</span> ",1,1
Psycho,50,"<span class=""condition"" data-condition='psychosis'>Psychosis</span> <span class=""condition"" data-condition='painkilling'>Painkilling</span>",1,1
Psycho buff,80,"<span class=""condition"" data-condition='anabolic'>Anabolic</span> <span class=""condition"" data-condition='psychosis'>Psychosis</span>",1,1
Psycho jet,80,"<span class=""condition"" data-condition='psychosis'>Psychosis</span> <span class=""condition"" data-condition='superstimulant'>Super Stimulant</span>",1,1
Cache Clearer,5,"<span class=""condition"" data-condition='axiolytic'>Axiolytic</span><span class=""condition"" data-condition='stimulant'>Stimulant</span>",0.1,1
Coolant Rerouter,100,"<span class=""condition"" data-condition='sedative'>Sedative</span>",0.1,1
Data Scrubber,50,"<span class=""condition"" data-condition='extrapolating'>Extrapolating</span>",0.1,1
EISENHOWER PROTOCOL,60,"<span class=""condition"" data-condition='painkilling'>Painkilling</span> <span class=""condition"" data-condition='Psychosis'>Psychosis</span> <span class=""condition"" data-condition='superstimulant'>Super Stimulant</span>",0.1,1
Incoming Projectile Predictor,20,"<span class=""condition"" data-condition='anesthetic'>Anesthetic</span> ",0.1,1
Military Auto-Tank AI Upload,50,"<span class=""condition"" data-condition='psychosis'>Psychosis</span> <span class=""condition"" data-condition='painkilling'>Painkilling</span>",0.1,1
Military Turret Operating System,55,"<span class=""condition"" data-condition='invigorating'>Invigorating</span> <span class=""condition"" data-condition='psychosis'>Psychosis</span> ",0.1,1
Overclock Hardware,30,"<span class=""condition"" data-condition='superstimulant'>Super Stimulant</span>",0.1,1
Overclock Hardware v2.0,40,"<span class=""condition"" data-condition='stimulant'>Stimulant</span> <span class=""condition"" data-condition='invigorating'>Invigorating</span>",0.1,1
Servo Override,20,"<span class=""condition"" data-condition='anabolic'>Anabolic</span> ",0.1,1
