title,cost,properties,load,worn,full,qty,effect
"Bag, Backpack",20,"A leather, burlap, or cloth bag with straps or a sling to grant you more space to store items on you. While you wear a backpack, your carry load increases by 50.",10,0,0,1,50
"Bag, Camping Backpack",100,"This large, heavy duty backpack has nylon strings made for tightening, a waist belt to help balance, many pockets, and an overhead compartment for larger storage. While you wear a camping backpack, your carry load increases by 100. ",20,0,0,1,100
"Bag, Range",50,"This single bag with one sling is longer to allow weapons to be stored in it with ease. You can store up to three weapons in the bag that have the Two Handed or Unwieldy property, if you do; each weapon's carry load is halved.",12,0,0,1,0
Bandolier,30,This pocketed strap fits across any part of the body to allow for additional items to be carried. It is not considered a bag allowing you to wear it and a backpack without becoming encumbered. While you wear a bandolier your carry load increases by 25.,8,0,0,1,25
Ball Bearings,10,"You can spend 3 AP to scatter these small metal spheres across a flat surface in a 5 foot radius. Any creature who walks or runs through the area falls prone and takes 1d4 impact damage, unless the creature has a passive sense above 15 or has otherwise noticed the ball bearings; they must spend 2 AP for every 5 feet of movement.",2,0,0,1,0
Bear Trap,60,"You can spend 6 Action Points to arm this bear trap in a 5 foot area. If the trap is already triggered, you can reset it with 6 AP and a Strength check of 15. If a creature moves into the area, the trap triggers and they take 3d4 piercing damage to their hit points and become grappled. You can disarm an untriggered bear trap with 6 AP and a crafting skill check with the DC equal to 15. You can attempt to pry open a triggered bear trap with 6 AP and a Strength ability check equal to 15. If you are grappled by the bear trap when you attempt this ability check; you have disadvantage on the roll unless your Endurance is equal to 6 or greater. On a success, you open the bear trap and any creatures grappled by it are no longer grappled. On a failure, the trap clamps back down on the grappled creature and they take 1d4 piercing damage.",30,0,0,1,0
Binoculars,25,"You can spend 3 AP to look through binoculars. While you look through them, your sight is magnified. You have advantage on any perception ability checks relying on sight when viewing objects, creatures, or a location that are at least 100 feet away. ",2,0,0,1,0
Caltrops,50,"You can spend 3 AP to scatter these small sharp objects across a flat surface in a 5 foot radius. Any creature who walks or runs through the area takes 2 piercing damage to their hit points for every 1 foot of movement they make through the area (this damage is not subtracted by DT), unless the creature has a passive sense above 15 or has otherwise noticed the caltrops; they must spend 2 AP for every 5 feet of movement.",2,0,0,1,0
Canteen,10,The metal canteen holds 32 oz. of liquid. ,1,0,2,1,0
Chain,15,"Outside of the typical, practical uses of a chain; if you are holding a chain while attempting to grapple or strangle another creature, you have advantage on your Strength ability rolls. Chains have an AC of 10, a DT of 10, 10 hit points, and vulnerability to ballistic, laser, and plasma damage. ",12,0,0,1,0
Flare,10,You can spend 6 AP on your turn to light this flare. This flare creates bright red light in a 30 foot radius and dim red light for an additional 30 feet. This light lasts for 1 hour. ,1,0,0,1,0
Flashlight,100,You can spend 1 AP while holding this flashlight to create bright light in a 20 foot cone and dim light for an additional 20 feet. The light lasts for 8 hours so long as you spend 6 AP to load an energy cell into the flashlight. ,2,0,0,1,0
Gas mask,80,"While you wear this mask, your radiation DC decreases by 3 and your passive sense decreases by 2.",12,0,0,1,0
