title,requirement,description,repeat
Splash Damage,Perception 6,"When you're deep in enemy territory, you just start chucking grenades and hope for the best. Whenever you attack with a weapon or equipment that has an area of effect, the area is increased by half. "," If you take this perk again, area of effect size is increased by half (effectively doubling your area of effect size)."
Oracle,Perception 10,"Your predictions for trouble are supernatural. Whenever you roll Combat Sequence, you can swap the combat sequence rolls of any number of willing creatures. "," If you take this perk again, whenever you roll Combat Sequence, you can swap the combat sequence rolls of up to three additional creatures (they do not have to be willing)."
Toughness,Endurance 5,"Your DT increases by 1 and whenever you become frightened, you can always choose to be frightened (fight). "," If you take this perk again, your DT increases by 1."
Lifegiver,Endurance 4,Your maximum hit points increase by 10 and each other player character's maximum hit points increase by 1.," If you take this perk again, your maximum hit points increase by 10 and each other player character's maximum hit points increase by 1."
Friend of the Night,Perception 4,"You've adapted to low-light conditions and you know how to utilize the darkness to your advantage. You no longer have disadvantage on any attack rolls, ability checks, or skill checks inhibited by low-light conditions. "," If you take this perk again, you've mutated or upgraded to adapt to the darkness. You have night vision out to 100 feet."
Back to Back,Charisma 6,"Shoulder to shoulder. When you roll combat sequence, choose one ally. When you and that ally are within 5 feet of each other, you and that ally gain the following benefits; Your AC increases by 1, your DT increases by 2, and whenever either you or the chosen ally take damage, either you or that ally can choose to reduce that damage by half. Then, they take the same amount of damage. "," Once a player character has taken this perk, it cannot be taken by any other characters. If you take this perk again, the AC bonus increases by 1, the DT bonus increases by 2, and whenever you or that ally take damage, either you or that ally can choose to reduce that damage to 0. Then, they take the damage instead."
Adaptive Reflexes,"Missing Hand, Arm, Foot, or Leg","You've learned to endure and overcome your disability. If you lost your foot or leg, you are no longer limited to moving only 20 feet on a turn. If you lost your hand or foot: you gain 3 points which you can use to increase any of your ability scores by the amount used. If you lost your arm or leg: you gain 5 points which you can use to increase any of your ability scores by the amount used. ", You can take this perk as many times as you have missing arms or legs.
Outrageous Advantage,Luck 10,"Whenever you or any other player characters roll an ability check, skill check, or attack roll with advantage; you roll three d20's instead of two and choose the highest result. "," You can take this perk up to a maximum of once. If any other player character takes this perk, the amount of d20's rolled with advantage increases by one."
Efficient Diagnosis,Perception 5,"You know where and why it hurts. Whenever you use a stimpak, first aid kit, or doctor's bag on another creature; they heal an additional 2 hit points, alternatively you can flip one of your karma caps to heal double the amount you normally would. "," You can take this perk up to a maximum of three times, each time increasing the number healed by 2."
Demolitions Expert,Perception 7,"You are an expert when it comes to the fine art of handling explosives. Whenever you deal damage with an explosive, the damage is increased by an additional dice. ", You can take this perk up to a maximum of three times.
Survivorship Bias,Endurance 5,"Your know-how of other creatures and what they can do allows you to have an edge against them. Whenever you can sense another creature, so long as you have rolled combat sequence with the creature type and subtype before; you can spend 3 action points to learn either the hit point, stamina point, action point, AC, or DT total of any of them. Additionally, you can spend 6 action points to learn one of its attacks, or any weaknesses it has (if any). "," You can take this perk up to a maximum of three times. Each time you take this perk you learn an additional statistic, action, or weakness when using your action points."
Dumb Luck,Luck 8,"There is no sense to your life's aptitude. Your full Luck ability modifier is added to all your skill modifiers instead of half. Additionally, whenever you flip your Karma Cap to gain advantage on an ability or skill check, you can add double your Luck modifier to the total. "," You can take this perk up to a maximum of twice, if you take it again; all your skill modifiers increase by 2. Additionally, whenever you flip your Karma Cap to gain reroll an ability or skill check, you can add double your Luck modifier to the second roll."
Cunning Strategist,Charisma 9,"Whenever another player character flips their Karma Cap back over when they roll a 1 on a d20 or if they are hit with a critical hit, you can also flip over your Karma Cap. "," You can take this perk up to a maximum of twice, when you take it again; whenever another player character flips their Karma Cap back over when they roll a 1 on a d20 or if they are hit with a critical hit, you can choose for another player character to flip over their Karma Cap."
Pulsion Perforation,Perception 7,"Your shots pierce right through your enemies! Whenever you make an attack roll with an energy weapon, you can choose to have the attack target up to three creatures that are in a line. The line is drawn starting from your location. ", You can take this perk up to a maximum of twice. If you take this perk again you can target up to six creatures in a line.
Roughin' It,Endurance 7,"You're more at home under the open stars than under a roof. Whenever you rest outside for at least 1 hour, you gain temporary hit points and temporary stamina points equal to your level for the next 8 hours. "," You can take this perk up to a maximum of twice. When you take it again, each other creature of your choice who also rests with you gains the same bonus."
