title,cost,properties,load,type,,,load,strreq
Milsurp Review,0,Your Guns skill bonus increases by 1 until you rest.,0,skill magazine,,,,
Future Weapons Today,0,Your Energy Weapons skill bonus increases by 1 until you rest.,0,skill magazine,,,,
Patriot's Cookbook,0,Your Explosives skill bonus increases by 1 until you rest.,0,skill magazine,,,,
Tæles of Chivalrie,0,Your Melee Weapons skill bonus increases by 1 until you rest.,0,skill magazine,,,,
Boxing Times,0,Your Unarmed skill bonus increases by 1 until you rest.,0,skill magazine,,,,
Today's Physician,0,Your Medicine skill bonus increases by 1 until you rest.,0,skill magazine,,,,
Locksmith's Reader,0,Your Breach skill bonus increases by 1 until you rest.,0,skill magazine,,,,
Fixin’ Things,0,Your Crafting skill bonus increases by 1 until you rest.,0,skill magazine,,,,
¡La Fantoma!,0,Your Sneak skill bonus increases by 1 until you rest.,0,skill magazine,,,,
Lad's Life,0,Your Survival skill bonus increases by 1 until you rest.,0,skill magazine,,,,
Salesman Weekly,0,Your Barter skill bonus increases by 1 until you rest.,0,skill magazine,,,,
Horror Comics,0,Your Intimidation skill bonus increases by 1 until you rest.,0,skill magazine,,,,
Meeting People,0,Your Speech skill bonus increases by 1 until you rest.,0,skill magazine,,,,
Programmer's Digest,0,Your Science skill bonus increases by 1 until you rest.,0,skill magazine,,,,
