name,prereq,description,wildwasteland
Fast Metabolism,Prerequisite: Human.,"Your metabolic rate is increased. Your Healing Rate is increased by 2. However, your Radiation DC is increased by 3.","Wild Wasteland: Your Healing Rate is increased by a number equal to your level. However, whenever you succeed a radiation check, your Radiation DC increases by 4 instead of 2."
Cheaper Parts,Prerequisite: Robot.,"You're made from a more accessible and malleable metal. Your Healing Rate is increased by 2. However, your AC is reduced by 1.","Wild Wasteland: Your Healing Rate is increased by a number equal to your level. However, your AC is decreased by 1, and your DT is decreased by 2."
Dense Circuitry,Prerequisite: Synth.,"Your fragile wiring is more protected, at the cost of input lag. You gain a bonus to your Healing Rate maximum equal to 2. However, your Combat Sequence rolls are decreased by 2.","Wild Wasteland: Your Healing Rate is increased by a number equal to your level. However, your Combat Sequence rolls have disadvantage and are decreased by 4."
Activated Actinides,Prerequisite: Ghoul.,"Through some mutation, you haven’t fully ghoulified. You can heal the full amount from stimpaks and you can use healing powder. However, you are no longer immune to radiation and its effects, but you have advantage on any Radiation checks and are resistant to radiation damage.","Wild Wasteland: In addition to the traits effects; Your Healing Rate is increased by 2. However, whenever you succeed a Radiation check, your Radiation DC increases by 4 instead of 2."
Onerous Regeneration,Prerequisite: Super Mutant.,"Your metabolic rate is increased. Your Healing Rate is increased by 2. However, your maximum stamina points are reduced by a number equal to your level. ","Wild Wasteland: Your Healing Rate is increased by a number equal to your level. However, whenever you regain stamina points from sleep, you regain half as much."
The Sight Beyond,,"You often hear the whispers of the great beyond, receiving paranormal visions of prophecy. When you finish a rest that lasts at least 8 hours, you may roll a d20 and record the result, this is your Sight roll. With this Sight roll you can replace any attack roll, skill check, or ability check made by you or a creature that you can see. Once you use this Sight roll, you cannot use it again until you rest again for at least 8 hours. However, you start each game with one of your Karma Caps flipped.","Wild Wasteland: You may make two Sight rolls after you rest for at least 8 hours, but your Karma Caps no longer flips if you ever roll a 1 on a d20."
Do No Harm ,,"“Primum non nocere”, you’ve taken the hippocratic oath and intend to heal others in the wasteland instead of hurting them. Whenever you use a first aid kit, stimpak, perk, or ability to restore hit points to another creature, you restore an additional 1 hit point. Whenever you attack another creature and damage them, the damage is reduced by 1 to a minimum of 1.","Wild Wasteland: In addition to the traits effects; whenever you spend 6 AP to roll a Medicine check on a dying creature to return them to 1 hit point, the check automatically succeeds. However, if you ever damage another creature from an attack you made against them, and this damage kills them; you lose all abilities from this trait. "
Street Rat,,"From your time spent in settlements, you know how to look the part and blend in. You have advantage on any Sneak or Breach checks you make while in a settlement, town, outpost, or otherwise populated location. However your shifty reputation has led others to think twice before helping you. You have disadvantage on any Speech or Barter checks you make while in a settlement, town, outpost, or otherwise populated location.","Wild Wasteland: You've got friends in low places, and your reputation goes even further. In addition to the traits effects; you can use your Discount ability three times before resting. However, there’s a price on your head for over 500 caps. Work with your GM on how you’ve obtained this bounty, who would be after you, and how this will affect your character."
A Moment of Respite ,,"You're a natural when it comes to lifting spirits. Whenever you and any other player characters rest, you play music, sing a song, recount a story, or give an inspiring speech. You and each other player character resting gain temporary stamina points equal to your Charisma score. However, you and each player character's group stealth is reduced by 2 so long as you are within 500 feet of them. ","Wild Wasteland: The amount of temporary stamina points gained is instead double your Charisma score, but your party’s group stealth is reduced by 5 so long as you’re in the party."
Hardened by the Earth,,"You’ve known long days and hard work, you have advantage whenever you roll an Endurance check to resist a level of Hunger or Fatigue. However, you fall unconscious if you reach 8 levels of Hunger or Fatigue instead of 10.","Wild Wasteland: In addition to the traits effects; whenever your hit points or stamina points increase from leveling up, you gain an extra point in each. However, the negative effects from levels of Hunger and Fatigue are doubled. "
Vigilant Watch,,"You’ve learned not to hesitate in moments of peril. Whenever combat sequence is determined, your turn placement is automatically put before the creature in the turn order placed before you that isn’t a player character, regardless of their roll. However your Combat Sequence bonus is reduced by 1.","Wild Wasteland: Your turn placement is automatically put before the previous two creatures in the turn order that aren’t player characters, regardless of their roll. However you have disadvantage on Combat Sequence rolls and your bonus is reduced by 2."
Recluse,,"You’ve spent more time honing your skills than learning new things. Instead of gaining a perk at 1st level, five different Skill modifiers of your choice increase by 2.","Wild Wasteland: Instead of gaining a perk at 1st and 2nd level, all your Skill modifiers increase by 2."
Persistent,,"Whenever you flip a Karma Cap to re-roll a Skill check, you make the roll at advantage. However, your Karma Caps no longer flip back over whenever you roll a 1 on a d20.","Wild Wasteland: Whenever you flip a Karma Cap to reroll an Ability check, Skill check, or attack roll; you make the roll at advantage. However, you start each game with one of your Karma Caps flipped."
"Long Days, Long Nights",,"You’re accustomed to straining your body and enduring physical work, whenever your stamina points increase from leveling up, you gain an extra point. However, you gain an additional level of fatigue whenever you fail an Endurance check to resist sleep.","Wild Wasteland: In addition to the traits effects; whenever your stamina points increase from leveling up, you gain another extra point (for a total of 2). However, whenever you regain stamina points from any rest that isn’t sleep, you regain a fourth of your maximum stamina points instead of half. "
Proper Maintenance,,"You know how to keep good care of your equipment. Whenever any of your weapons or armor have no levels of decay, the first level of decay they gain is ignored. However, your weapons and armor become non-functional when they have 8 levels of decay instead of 10.","Wild Wasteland: Whenever any of your weapons or armor have one or two levels of decay, the negative effects are ignored. However, your weapons and armor become non-functional when they have 5 levels of decay instead of 10."
Sweeten the Deal,,"You know how to strike a bargain and make anything worth your time. Whenever you use your Discount ability, the percentage of caps off the selected item is tripled. However, all items cost 10% more for you.","Wild Wasteland: Whenever you use your Discount ability, the percentage of caps off the selected item is sextupled. However, all items cost 25% more for you."
